Pall Mall Orange 65,23318
Marlboro Gold 19,19542
Pueblo Blue 100g,23163
Pall Mall 35,23115
Break blue 19,23312
Pueblo Classic 100g,22728
Winston red box 50,23367
Winston red box 35,23316
Winston red box 30,23137
Winston Blue box 30,23360
JPS red box 30,23343
Marlboro red 25,23030
Break red 19,23107
